name_gadm_level0,adult,bite,site,total
Spain,32286.0,35214.0,16766.0,84266.0
Italy,14148.0,14046.0,1411.0,29605.0
Netherlands,17296.0,6573.0,260.0,24129.0
Hungary,4553.0,2618.0,53.0,7224.0
Austria,3487.0,2176.0,118.0,5781.0
India,173.0,1300.0,46.0,1519.0
France,420.0,713.0,24.0,1157.0
Germany,543.0,528.0,13.0,1084.0
Greece,474.0,502.0,11.0,987.0
United States,247.0,431.0,40.0,718.0
Brazil,101.0,435.0,71.0,607.0
Mexico,73.0,399.0,21.0,493.0
Portugal,246.0,224.0,16.0,486.0
Uruguay,116.0,90.0,228.0,434.0
Bulgaria,159.0,244.0,3.0,406.0
Turkey,88.0,283.0,4.0,375.0
Iran,17.0,343.0,3.0,363.0
Serbia,161.0,154.0,6.0,321.0
Belgium,143.0,152.0,7.0,302.0
Colombia,32.0,250.0,18.0,300.0
Argentina,117.0,126.0,55.0,298.0
Algeria,9.0,274.0,3.0,286.0
Croatia,103.0,178.0,,281.0
Luxembourg,151.0,101.0,2.0,254.0
Peru,42.0,172.0,8.0,222.0
Indonesia,13.0,196.0,4.0,213.0
South Korea,13.0,170.0,20.0,203.0
Sweden,108.0,91.0,2.0,201.0
Chile,14.0,180.0,1.0,195.0
Romania,35.0,156.0,2.0,193.0
North Macedonia,112.0,75.0,1.0,188.0
Russia,9.0,174.0,3.0,186.0
Albania,85.0,63.0,35.0,183.0
Cyprus,58.0,68.0,53.0,179.0
United Kingdom,54.0,74.0,4.0,132.0
Bangladesh,24.0,94.0,6.0,124.0
China,90.0,5.0,16.0,111.0
Azerbaijan,4.0,105.0,1.0,110.0
Ecuador,26.0,73.0,9.0,108.0
Thailand,9.0,85.0,11.0,105.0
Uzbekistan,5.0,97.0,2.0,104.0
Poland,23.0,79.0,1.0,103.0
Egypt,8.0,95.0,,103.0
Ukraine,4.0,96.0,,100.0
Pakistan,13.0,79.0,5.0,97.0
Morocco,11.0,84.0,2.0,97.0
Switzerland,50.0,44.0,1.0,95.0
South Africa,8.0,78.0,1.0,87.0
Kosovo,72.0,9.0,2.0,83.0
Slovenia,35.0,38.0,2.0,75.0
Saudi Arabia,4.0,66.0,1.0,71.0
Slovakia,28.0,31.0,,59.0
Bolivia,12.0,43.0,3.0,58.0
Guatemala,10.0,44.0,2.0,56.0
Malaysia,3.0,49.0,2.0,54.0
Philippines,2.0,49.0,2.0,53.0
Czechia,13.0,38.0,,51.0
Dominican Republic,10.0,33.0,8.0,51.0
Tunisia,4.0,47.0,,51.0
Nigeria,4.0,41.0,3.0,48.0
Georgia,,48.0,,48.0
Australia,4.0,43.0,,47.0
Costa Rica,6.0,20.0,18.0,44.0
Ghana,4.0,33.0,6.0,43.0
Venezuela,3.0,36.0,3.0,42.0
Kenya,8.0,29.0,2.0,39.0
Nepal,4.0,32.0,2.0,38.0
Myanmar,8.0,24.0,1.0,33.0
Finland,12.0,21.0,,33.0
United Arab Emirates,2.0,31.0,,33.0
Jordan,,33.0,,33.0
Ethiopia,4.0,27.0,,31.0
Sri Lanka,6.0,23.0,2.0,31.0
El Salvador,,29.0,1.0,30.0
Northern Cyprus,18.0,10.0,1.0,29.0
Vietnam,,26.0,2.0,28.0
Iraq,,26.0,1.0,27.0
Equatorial Guinea,6.0,18.0,3.0,27.0
Israel,2.0,24.0,,26.0
Tanzania,11.0,13.0,1.0,25.0
Paraguay,4.0,20.0,1.0,25.0
Japan,1.0,20.0,3.0,24.0
Nicaragua,4.0,20.0,,24.0
Akrotiri and Dhekelia,12.0,4.0,7.0,23.0
Libya,9.0,13.0,1.0,23.0
Syria,1.0,22.0,,23.0
Canada,5.0,18.0,,23.0
Lebanon,1.0,21.0,,22.0
Somalia,1.0,20.0,1.0,22.0
Puerto Rico,15.0,6.0,1.0,22.0
Oman,3.0,17.0,1.0,21.0
Honduras,4.0,16.0,1.0,21.0
Bosnia and Herzegovina,6.0,14.0,,20.0
Lithuania,,19.0,1.0,20.0
Denmark,11.0,9.0,,20.0
Ireland,10.0,8.0,,18.0
Senegal,2.0,15.0,1.0,18.0
Singapore,,14.0,3.0,17.0
Uganda,6.0,10.0,,16.0
Norway,5.0,10.0,,15.0
Panama,1.0,14.0,,15.0
Taiwan,,15.0,,15.0
Latvia,,14.0,1.0,15.0
Montenegro,3.0,11.0,,14.0
Cambodia,2.0,12.0,,14.0
Palestine,1.0,13.0,,14.0
Moldova,3.0,11.0,,14.0
Andorra,5.0,7.0,,12.0
Armenia,,11.0,,11.0
Mauritania,1.0,9.0,,10.0
Belarus,1.0,9.0,,10.0
"Saint Helena, Ascension and Tris",,8.0,1.0,9.0
Djibouti,3.0,6.0,,9.0
Guyana,2.0,5.0,2.0,9.0
Mauritius,3.0,6.0,,9.0
Maldives,5.0,4.0,,9.0
Suriname,,9.0,,9.0
Curacao,6.0,3.0,,9.0
Greenland,,9.0,,9.0
Democratic Republic of the Congo,2.0,7.0,,9.0
Estonia,1.0,8.0,,9.0
Gibraltar,5.0,3.0,,8.0
Antarctica,,8.0,,8.0
Niger,1.0,7.0,,8.0
Sudan,,7.0,,7.0
Zimbabwe,2.0,5.0,,7.0
Kazakhstan,,7.0,,7.0
Laos,,7.0,,7.0
Gabon,2.0,5.0,,7.0
Jammu and Kashmir,2.0,5.0,,7.0
Gambia,1.0,4.0,1.0,6.0
Yemen,,6.0,,6.0
Haiti,1.0,5.0,,6.0
Madagascar,,6.0,,6.0
Cote d'Ivoire,,6.0,,6.0
Cabo Verde,1.0,4.0,,5.0
Jamaica,2.0,3.0,,5.0
Fiji,1.0,3.0,1.0,5.0
Angola,,5.0,,5.0
Mongolia,,5.0,,5.0
Namibia,,5.0,,5.0
Reunion,,5.0,,5.0
Cuba,1.0,3.0,,4.0
Saint Kitts and Nevis,,4.0,,4.0
Afghanistan,1.0,3.0,,4.0
Qatar,,4.0,,4.0
Mali,1.0,3.0,,4.0
Malta,,4.0,,4.0
Burkina Faso,1.0,3.0,,4.0
Bahrain,,4.0,,4.0
Kyrgyzstan,,4.0,,4.0
Svalbard and Jan Mayen,,3.0,,3.0
Cameroon,,3.0,,3.0
Togo,,3.0,,3.0
French Polynesia,,3.0,,3.0
Zambia,,3.0,,3.0
Solomon Islands,1.0,2.0,,3.0
North Korea,,3.0,,3.0
Mozambique,,3.0,,3.0
Sao Tome and Principe,1.0,2.0,,3.0
Guinea,,2.0,,2.0
Rwanda,,2.0,,2.0
Western Sahara,,2.0,,2.0
Aruba,1.0,1.0,,2.0
"Bonaire, Sint Eustatius and Saba",1.0,1.0,,2.0
Botswana,,2.0,,2.0
Turkmenistan,,2.0,,2.0
Martinique,1.0,1.0,,2.0
Trinidad and Tobago,,2.0,,2.0
Republic of the Congo,,2.0,,2.0
Liberia,1.0,1.0,,2.0
Faroe Islands,,2.0,,2.0
South Sudan,,2.0,,2.0
Sint Maarten,1.0,1.0,,2.0
Grenada,1.0,1.0,,2.0
Iceland,1.0,1.0,,2.0
New Zealand,,2.0,,2.0
Caspian Sea,,1.0,,1.0
Tajikistan,1.0,,,1.0
Guadeloupe,,1.0,,1.0
Kuwait,1.0,,,1.0
Comoros,,1.0,,1.0
Monaco,,1.0,,1.0
Anguilla,,1.0,,1.0
Vatican City,,1.0,,1.0
Chad,,1.0,,1.0
Arunachal Pradesh,,1.0,,1.0
Mayotte,,1.0,,1.0
Belize,1.0,,,1.0
San Marino,,1.0,,1.0
Samoa,,1.0,,1.0
Brunei,,1.0,,1.0
Cook Islands,1.0,,,1.0
South Georgia and the South Sand,,1.0,,1.0
Saint Lucia,,1.0,,1.0
Burundi,,1.0,,1.0
Cayman Islands,,1.0,,1.0
Paracel Islands,,1.0,,1.0
Malawi,,1.0,,1.0
Sierra Leone,,1.0,,1.0
Tuvalu,,1.0,,1.0
